Month,AAPL,AMD,INTC,MSFT,TWTR
1,70286300,19340500,34377300,53181300,25309400
2,42303900,10207500,27470500,42321200,28425100
3,35088000,15563300,22265300,30339600,20224400
4,44806000,23346500,26296600,35561900,27424500
5,44886900,19987100,21642100,27058000,22029700
6,37040500,29623800,23608300,38721200,23272200
7,35675600,36157100,27435000,33907300,26558900
8,28686500,27182900,17889300,21214700,26453600
9,47828300,51874100,25232300,26492300,39171700
10,33968200,43404300,23373200,30536900,43787700
11,36072200,48783800,20926800,30843400,20192300
12,30445600,56865800,20160600,25674200,17782800
